s	1nM_bi_250nM_mono	s	1nM_bi_50nM_mono	s	1nM_bi_2.5nM_mono
42.736	26.36063467	42.736	22.03276977	42.736	19.59647536
42.836	26.37266387	42.836	22.04391783	42.836	19.61425136
42.936	26.37285907	42.936	22.06592293	42.936	19.63290736
43.036	26.36878427	43.036	22.07237	43.036	19.66355336
43.136	26.36653947	43.136	22.07725008	43.136	19.68143936
43.236	26.37588467	43.236	22.09925518	43.236	19.69613536
43.336	26.39986987	43.336	22.12137221	43.336	19.71787136
43.436	26.39579507	43.436	22.13240834	43.436	19.74851736
43.536	26.38830427	43.536	22.1435564	43.536	19.76717336
43.636	26.38849947	43.636	22.1655615	43.636	19.79572936
43.736	26.38869467	43.736	22.17279207	43.736	19.81350536
43.836	26.38888987	43.836	22.17912721	43.836	19.82831136
43.936	26.40872707	43.936	22.19016334	43.936	19.86742736
44.036	26.40123627	44.036	22.21216845	44.036	19.88663336
44.136	26.40143147	44.136	22.23036799	44.136	19.90440936
44.236	26.40589667	44.236	22.23446457	44.236	19.91921536
44.336	26.41377787	44.336	22.25646967	44.336	19.95371136
44.436	26.42068307	44.436	22.26761773	44.436	19.97159736
44.536	26.41172827	44.536	22.27473637	44.536	19.98629336
44.636	26.41192347	44.636	22.28107151	44.636	20.01187936
44.736	26.42407467	44.736	22.3069941	44.736	20.04945536
44.836	26.42426987	44.836	22.32116423	44.836	20.05348136
44.936	26.42446507	44.936	22.32537273	44.936	20.07510736
45.036	26.43893427	45.036	22.34737784	45.036	20.09288336
45.136	26.44339947	45.136	22.35449648	45.136	20.11846936
45.236	26.44701067	45.236	22.35870498	45.236	20.13327536
45.336	26.43951987	45.336	22.36974111	45.336	20.16392136
45.436	26.43971507	45.436	22.38301581	45.436	20.19170736
45.536	26.45186627	45.536	22.40334199	45.536	20.20508336
45.636	26.45206147	45.636	22.40743856	45.636	20.21603936
45.736	26.46409067	45.736	22.42955559	45.736	20.23601536
45.836	26.46001587	45.836	22.44059172	45.836	20.25456136
45.936	26.45264707	45.936	22.45644077	45.936	20.28311736
46.036	26.46467627	46.036	22.47128246	46.036	20.30694336
46.136	26.46487147	46.136	22.48701958	46.136	20.32471936
46.236	26.46506667	46.236	22.49816764	46.236	20.33094536
46.336	26.46526187	46.336	22.50539821	46.336	20.35257136
46.436	26.46118707	46.436	22.50949478	46.436	20.38882736
46.536	26.46565227	46.536	22.53149989	46.536	20.41353336
46.636	26.47780347	46.636	22.54264795	46.636	20.41755936
46.736	26.47799867	46.736	22.54976659	46.736	20.44138536
46.836	26.47392387	46.836	22.56874963	46.836	20.45916136
46.936	26.47070307	46.936	22.58683724	46.936	20.47396736
47.036	26.47858427	47.036	22.58701633	47.036	20.49559336
47.136	26.49073547	47.136	22.59637353	47.136	20.52117936
47.236	26.50520467	47.236	22.61143908	47.236	20.53719536
47.336	26.50112987	47.336	22.62258714	47.336	20.54122136
47.436	26.49363907	47.436	22.63362327	47.436	20.56295736
47.536	26.49383427	47.536	22.64477133	47.536	20.58458336
47.636	26.49402947	47.636	22.66677643	47.636	20.60620936
47.736	26.50618067	47.736	22.67792449	47.736	20.63003536
47.836	26.50210587	47.836	22.68515506	47.836	20.64099136
47.936	26.51084107	47.936	22.70234725	47.936	20.66261736
48.036	26.51860027	48.036	22.70252633	48.036	20.68039336
48.136	26.51879547	48.136	22.71367439	48.136	20.69519936
48.236	26.51899067	48.236	22.72471052	48.236	20.72078536
48.336	26.51491587	48.336	22.74682755	48.336	20.74065136
48.436	26.50754707	48.436	22.75786368	48.436	20.77305736
48.536	26.51201227	48.536	22.76509425	48.536	20.77939336
48.636	26.53172747	48.636	22.76919083	48.636	20.79276936
48.736	26.54387867	48.736	22.78022696	48.736	20.80372536
48.836	26.54407387	48.836	22.79361358	48.836	20.83822136
48.936	26.53914507	48.936	22.80688828	48.936	20.84917736
49.036	26.53019027	49.036	22.81322342	49.036	20.87080336
49.136	26.53038547	49.136	22.81597686	49.136	20.87790936
49.236	26.53058067	49.236	22.82712491	49.236	20.89271536
49.336	26.53077587	49.336	22.827304	49.336	20.91434136
49.436	26.54280507	49.436	22.8493091	49.436	20.93816736
49.536	26.55495627	49.536	22.86045716	49.536	20.94516336
49.636	26.55515147	49.636	22.87149329	49.636	20.96458936
49.736	26.55534667	49.736	22.89361032	49.736	20.98379536
49.836	26.55554187	49.836	22.90072896	49.836	21.00377136
49.936	26.55573707	49.936	22.8939685	49.936	21.01846736
50.036	26.55593227	50.036	22.90724319	50.036	21.03162336
50.136	26.56808347	50.136	22.91827932	50.136	21.05324936
50.236	26.56827867	50.236	22.94039635	50.236	21.06024536
50.336	26.56408187	50.336	22.94057544	50.336	21.07505136
50.436	26.56098307	50.436	22.95161157	50.436	21.09667736
50.536	26.58069827	50.536	22.96981111	50.536	21.10763336
50.636	26.58089347	50.636	22.97390769	50.636	21.13145936
50.736	26.59304467	50.736	22.98886131	50.736	21.15308536
50.836	26.59323987	50.836	22.99217439	50.836	21.16404136
50.936	26.59343507	50.936	23.00723993	50.936	21.18566736
51.036	26.59363027	51.036	23.02051463	51.036	21.20344336
51.136	26.59382547	51.136	23.03166269	51.136	21.21142936
51.236	26.58975067	51.236	23.02781236	51.236	21.24207536
51.336	26.60848987	51.336	23.04287791	51.336	21.24841136
51.436	26.61380907	51.436	23.05402596	51.436	21.25100736
51.536	26.62315427	51.536	23.06506209	51.536	21.28341336
51.636	26.62334947	51.636	23.06132369	51.636	21.29436936
51.736	26.62354467	51.736	23.06542027	51.736	21.31214536
51.836	26.62373987	51.836	23.0875373	51.836	21.31837136
51.936	26.64784707	51.936	23.09465594	51.936	21.33999736
52.036	26.64804227	52.036	23.09181296	52.036	21.36162336
52.136	26.64384547	52.136	23.11213914	52.136	21.37257936
52.236	26.63647667	52.236	23.13414424	52.236	21.38353536
52.336	26.63667187	52.336	23.13432333	52.336	21.41198136
52.436	26.64113707	52.436	23.14065847	52.436	21.41820736
52.536	26.64901827	52.536	23.13244293	52.536	21.42916336
52.636	26.65677747	52.636	23.14359099	52.636	21.45078936
52.736	26.66124267	52.736	23.16783466	52.736	21.45789536
52.836	26.66143787	52.836	23.17976622	52.836	21.47644136
52.936	26.66163307	52.936	23.18128844	52.936	21.49432736
53.036	26.66182827	53.036	23.1924365	53.036	21.51419336
53.136	26.66629347	53.136	23.21052411	53.136	21.51832936
53.236	26.68613067	53.236	23.20365172	53.236	21.52917536
53.336	26.68193387	53.336	23.21479977	53.336	21.54695136
53.436	26.68652107	53.436	23.22594783	53.436	21.55097736
53.536	26.68671627	53.536	23.23530504	53.536	21.57271336
53.636	26.68691147	53.636	23.23940161	53.636	21.58355936
53.736	26.69137667	53.736	23.25054967	53.736	21.59066536
53.836	26.69913587	53.836	23.2615858	53.836	21.61361136
53.936	26.69506107	53.936	23.26176489	53.936	21.63138736
54.036	26.68769227	54.036	23.27291295	54.036	21.64916336
54.136	26.70216147	54.136	23.29491805	54.136	21.65318936
54.236	26.71419067	54.236	23.29117965	54.236	21.66414536
54.336	26.71438587	54.336	23.29527622	54.336	21.68577136
54.436	26.71458107	54.436	23.29545531	54.436	21.69210736
54.536	26.71904627	54.536	23.31757234	54.536	21.69690336
54.636	26.72692747	54.636	23.32860847	54.636	21.71852936
54.736	26.72712267	54.736	23.32878756	54.736	21.74026536
54.836	26.73414987	54.836	23.34206225	54.836	21.75111136
54.936	26.73702907	54.936	23.35321031	54.936	21.76206736
55.036	26.73722427	55.036	23.36044088	55.036	21.78369336
55.136	26.73741947	55.136	23.35356848	55.136	21.79079936
55.236	26.74188467	55.236	23.36471654	55.236	21.79702536
55.336	26.74976587	55.336	23.36489562	55.336	21.80787136
55.436	26.76179507	55.436	23.37593176	55.436	21.82949736
55.536	26.75772027	55.536	23.39726529	55.536	21.84738336
55.636	26.76218547	55.636	23.39598931	55.636	21.85140936
55.736	26.76238067	55.736	23.40713737	55.736	21.87303536
55.836	26.76257587	55.836	23.40339896	55.836	21.88399136
55.936	26.76716307	55.936	23.40749554	55.936	21.89098736
56.036	26.77492227	56.036	23.43173921	56.036	21.89721336
56.136	26.77511747	56.136	23.4280008	56.136	21.92268936
56.236	26.77531267	56.236	23.4381415	56.236	21.93661536
56.336	26.79502787	56.336	23.44537207	56.336	21.94075136
56.436	26.78765907	56.436	23.46737718	56.436	21.96237736
56.536	26.78785427	56.536	23.46363877	56.536	21.96937336
56.636	26.78804947	56.636	23.46773535	56.636	21.97350936
56.736	26.78824467	56.736	23.46791443	56.736	21.98435536
56.836	26.79270987	56.836	23.47906249	56.836	21.99740136
56.936	26.81242507	56.936	23.47924158	56.936	22.01737736
57.036	26.81262027	57.036	23.49027771	57.036	22.02140336
57.136	26.81281547	57.136	23.50142577	57.136	22.04313936
57.236	26.82301467	57.236	23.51257382	57.236	22.05398536
57.336	26.81564587	57.336	23.50883542	57.336	22.06956136
57.436	26.81584107	57.436	23.51293199	57.436	22.08414736
57.536	26.81603627	57.536	23.51702857	57.536	22.09961336
57.636	26.82135547	57.636	23.54608516	57.636	22.11056936
57.736	26.84253467	57.736	23.54234675	57.736	22.11767536
57.836	26.83845987	57.836	23.53547435	57.836	22.12170136
57.936	26.83109107	57.936	23.54662241	57.936	22.14332736
58.036	26.84312027	58.036	23.55765854	58.036	22.15428336
58.136	26.84331547	58.136	23.57104517	58.136	22.16127936
58.236	26.84351067	58.236	23.57122425	58.236	22.17993536
58.336	26.84370587	58.336	23.58226038	58.336	22.19771136
58.436	26.85585707	58.436	23.59340844	58.436	22.19788736
58.536	26.85605227	58.536	23.6045565	58.536	22.20708336
58.636	26.86393347	58.636	23.60473559	58.636	22.22188936
58.736	26.86071267	58.736	23.61107073	58.736	22.23284536
58.836	26.86859387	58.836	23.60285519	58.836	22.24369136
58.936	26.88062307	58.936	23.62877778	58.936	22.25464736
59.036	26.88081827	59.036	23.63600835	59.036	22.27627336
59.136	26.88101347	59.136	23.64715641	59.136	22.28722936
59.236	26.87693867	59.236	23.64341801	59.236	22.29433536
59.336	26.86956987	59.336	23.65837163	59.336	22.31123136
59.436	26.87403507	59.436	23.65855071	59.436	22.31140736
59.536	26.89375027	59.536	23.6587298	59.536	22.32236336
59.636	26.90821947	59.636	23.66596037	59.636	22.33320936
59.736	26.90414467	59.736	23.65908797	59.736	22.35494536
59.836	26.89677587	59.836	23.6855702	59.836	22.36579136
59.936	26.89697107	59.936	23.68574929	59.936	22.37289736
60.036	26.89716627	60.036	23.68671187	60.036	22.37692336
60.136	26.89736147	60.136	23.69920307	60.136	22.38776936
60.236	26.90939067	60.236	23.69938216	60.236	22.40092536
60.336	26.92154187	60.336	23.71746977	60.336	22.41397136
60.436	26.91661307	60.436	23.71059737	60.436	22.42019736
60.536	26.90765827	60.536	23.71480588	60.536	22.42290336
60.636	26.90785347	60.636	23.73289349	60.636	22.43385936
60.736	26.90804867	60.736	23.74392962	60.736	22.43403536
60.836	26.92007787	60.836	23.75116019	60.836	22.45566136
60.936	26.93222907	60.936	23.74428779	60.936	22.46661736
61.036	26.93669427	61.036	23.74446688	61.036	22.47746336
61.136	26.94030547	61.136	23.76658391	61.136	22.49919936
61.236	26.93281467	61.236	23.77068048	61.236	22.50619536
61.336	26.93300987	61.336	23.77779912	61.336	22.49955136
61.436	26.94516107	61.436	23.78502969	61.436	22.51259736
61.536	26.94535627	61.536	23.77815729	61.536	22.52344336
61.636	26.94555147	61.636	23.78930535	61.636	22.54517936
61.736	26.95331067	61.736	23.80045341	61.736	22.54535536
61.836	26.95021187	61.836	23.8006325	61.836	22.55620136
61.936	26.96992707	61.936	23.81782468	61.936	22.57408736
62.036	26.97012227	62.036	23.82102583	62.036	22.57811336
62.136	26.96604747	62.136	23.82523434	62.136	22.59280936
62.236	26.95855667	62.236	23.83627047	62.236	22.59606536
62.336	26.97070787	62.336	23.83644955	62.336	22.61087136
62.436	26.97090307	62.436	23.83662864	62.436	22.62391736
62.536	26.96682827	62.536	23.83680772	62.536	22.63487336
62.636	26.95933747	62.636	23.84795578	62.636	22.63108936
62.736	26.98344467	62.736	23.84813487	62.736	22.64589536
62.836	26.98363987	62.836	23.84831395	62.836	22.65685136
62.936	26.98383507	62.936	23.87031906	62.936	22.66769736
63.036	26.98403027	63.036	23.86579715	63.036	22.66402336
63.136	26.98422547	63.136	23.85758162	63.136	22.66804936
63.236	26.98442067	63.236	23.86872967	63.236	22.68978536
63.336	26.98461587	63.336	23.87282625	63.336	22.69678136
63.436	26.99237507	63.436	23.89091386	63.436	22.69398736
63.536	26.98500627	63.536	23.90206192	63.536	22.71396336
63.636	26.98947147	63.636	23.89832352	63.636	22.73558936
63.736	26.99723067	63.736	23.90242009	63.736	22.73576536
63.836	26.99742587	63.836	23.90651667	63.836	22.74199136
63.936	27.01201707	63.936	23.91363531	63.936	22.73391736
64.036	27.00782027	64.036	23.93575234	64.036	22.74487336
64.136	27.01472547	64.136	23.93201394	64.136	22.76869936
64.236	27.01492067	64.236	23.92905903	64.236	22.78042536
64.336	27.01511587	64.336	23.94714664	64.336	22.78192136
64.436	27.01531107	64.436	23.94732573	64.436	22.79287736
64.536	27.01977627	64.536	23.96060042	64.536	22.81065336
64.636	27.02765747	64.636	23.95686202	64.636	22.80389936
64.736	27.02358267	64.736	23.96319716	64.736	22.81485536
64.836	27.01609187	64.836	23.96337624	64.836	22.82581136
64.936	27.01628707	64.936	23.96355533	64.936	22.83500736
65.036	27.01648227	65.036	23.97470339	65.036	22.83903336
65.136	27.01667747	65.136	23.99044051	65.136	22.84998936
65.236	27.04066267	65.236	23.99509673	65.236	22.86083536
65.336	27.03573387	65.336	23.9991933	65.336	22.86101136
65.436	27.02677907	65.436	23.99937239	65.436	22.87196736
65.536	27.03209827	65.536	23.99955147	65.536	22.89359336
65.636	27.04144347	65.636	23.99973056	65.636	22.88991936
65.736	27.04163867	65.736	24.02184759	65.736	22.89394536
65.836	27.03756387	65.836	24.02202667	65.836	22.89412136
65.936	27.04202907	65.936	24.02220576	65.936	22.91585736
66.036	27.04222427	66.036	24.02238484	66.036	22.92670336
66.136	27.04241947	66.136	24.02256393	66.136	22.92687936
66.236	27.04261467	66.236	24.03360006	66.236	22.93992536
66.336	27.03853987	66.336	24.03780856	66.336	22.95088136
66.436	27.03117107	66.436	24.05197869	66.436	22.95798736
66.536	27.03136627	66.536	24.04510629	66.536	22.95123336
66.636	27.05962147	66.636	24.04528537	66.636	22.96218936
66.736	27.06750267	66.736	24.05643343	66.736	22.96236536
66.836	27.06769787	66.836	24.05661252	66.836	22.97321136
66.936	27.06362307	66.936	24.0567916	66.936	22.99417736
67.036	27.05613227	67.036	24.06782773	67.036	22.99292336
67.136	27.05632747	67.136	24.07897579	67.136	23.00387936
67.236	27.05652267	67.236	24.07915488	67.236	23.00020536
67.336	27.05671787	67.336	24.08325145	67.336	23.00423136
67.436	27.07313907	67.436	24.08578103	67.436	23.02805736
67.536	27.07662827	67.536	24.09939152	67.536	23.02438336
67.636	27.06925947	67.636	24.0995706	67.636	23.03434936
67.736	27.06945467	67.736	24.09974969	67.736	23.04145536
67.836	27.06964987	67.836	24.09992877	67.836	23.06308136
67.936	27.08167907	67.936	24.10402535	67.936	23.05940736
68.036	27.07760427	68.036	24.13129108	68.036	23.06343336
68.136	27.07450547	68.136	24.12453061	68.136	23.06360936
68.236	27.08226467	68.236	24.1247097	68.236	23.07456536
68.336	27.08245987	68.336	24.12488878	68.336	23.07474136
68.436	27.08265507	68.436	24.12506787	68.436	23.08558736
68.536	27.09480627	68.536	24.12132946	68.536	23.09654336
68.636	27.10268747	68.636	24.14020057	68.636	23.10749936
68.736	27.09519667	68.736	24.14743114	68.736	23.10382536
68.836	27.09539187	68.836	24.14761023	68.836	23.10785136
68.936	27.09985707	68.936	24.15875829	68.936	23.11187736
69.036	27.10773827	69.036	24.15893737	69.036	23.14043336
69.136	27.10793347	69.136	24.15519897	69.136	23.13675936
69.236	27.10812867	69.236	24.16142218	69.236	23.13000536
69.336	27.10405387	69.336	24.16160126	69.336	23.14096136
69.436	27.10851907	69.436	24.17666681	69.436	23.15180736
69.536	27.12054827	69.536	24.18389738	69.536	23.16496336
69.636	27.12074347	69.636	24.18004705	69.636	23.16513936
69.736	27.12093867	69.736	24.17328658	69.736	23.17598536
69.836	27.12113387	69.836	24.18443464	69.836	23.18694136
69.936	27.12132907	69.936	24.19547077	69.936	23.19789736
70.036	27.12152427	70.036	24.19564985	70.036	23.19807336
70.136	27.12598947	70.136	24.19191145	70.136	23.20429936
70.236	27.13387067	70.236	24.18985197	70.236	23.19622536
70.336	27.13406587	70.336	24.19842567	70.336	23.22170136
70.436	27.13426107	70.436	24.22043078	70.436	23.22880736
70.536	27.13445627	70.536	24.21669237	70.536	23.23976336
70.636	27.13892147	70.636	24.20981998	70.636	23.23608936
70.736	27.14680267	70.736	24.20999906	70.736	23.25078536
70.836	27.14699787	70.836	24.21017815	70.836	23.25096136
70.936	27.14194707	70.936	24.21035723	70.936	23.25113736
71.036	27.13299227	71.036	24.22855677	71.036	23.25824336
71.136	27.14514347	71.136	24.22168438	71.136	23.25148936
71.236	27.14533867	71.236	24.22186346	71.236	23.27751536
71.336	27.14980387	71.336	24.22596004	71.336	23.27769136
71.436	27.15768507	71.436	24.2331906	71.436	23.27863736
71.536	27.15788027	71.536	24.23952575	71.536	23.29091336
71.636	27.15807547	71.636	24.23131021	71.636	23.29108936
71.736	27.17010467	71.736	24.23148929	71.736	23.30886536
71.836	27.16602987	71.836	24.24263735	71.836	23.30211136
71.936	27.15866107	71.936	24.24281644	71.936	23.30624736
72.036	27.16312627	72.036	24.24299552	72.036	23.32402336
72.136	27.17088547	72.136	24.25627022	72.136	23.33486936
72.236	27.17108067	72.236	24.2603668	72.236	23.34197536
72.336	27.17127587	72.336	24.26367987	72.336	23.33522136
72.436	27.17147107	72.436	24.25680748	72.436	23.33539736
72.536	27.17166627	72.536	24.25698656	72.536	23.35713336
72.636	27.17186147	72.636	24.26813462	72.636	23.36115936
72.736	27.18645267	72.736	24.26831371	72.736	23.36815536
72.836	27.18225587	72.836	24.27934984	72.836	23.37526136
72.936	27.18001107	72.936	24.27561143	72.936	23.36850736
73.036	27.18935627	73.036	24.26885096	73.036	23.37946336
73.136	27.18955147	73.136	24.27988709	73.136	23.39041936
73.236	27.18974667	73.236	24.28006618	73.236	23.39059536
73.336	27.18994187	73.336	24.28024526	73.336	23.40749136
73.436	27.19013707	73.436	24.28042435	73.436	23.41063736
73.536	27.19033227	73.536	24.27668594	73.536	23.41477336
73.636	27.19052747	73.636	24.28078252	73.636	23.42561936
73.736	27.20267867	73.736	24.29193058	73.736	23.42579536
73.836	27.20287387	73.836	24.29210966	73.836	23.42597136
73.936	27.20733907	73.936	24.28837126	73.936	23.42614736
74.036	27.21509827	74.036	24.28541635	74.036	23.43710336
74.136	27.21529347	74.136	24.29264692	74.136	23.43727936
74.236	27.21548867	74.236	24.30379498	74.236	23.43745536
74.336	27.21568387	74.336	24.31706967	74.336	23.45908136
74.436	27.21587907	74.436	24.31333127	74.436	23.45463736
74.536	27.21180427	74.536	24.30645887	74.536	23.44656336
74.636	27.20443547	74.636	24.30663796	74.636	23.45751936
74.736	27.20463067	74.736	24.30681704	74.736	23.46154536
74.836	27.20482587	74.836	24.3179651	74.836	23.47932136
74.936	27.20502107	74.936	24.31422669	74.936	23.49027736
75.036	27.22144227	75.036	24.32224076	75.036	23.48660336
75.136	27.22920147	75.136	24.3293594	75.136	23.49062936
75.236	27.22939667	75.236	24.32953849	75.236	23.49465536
75.336	27.22959187	75.336	24.32971757	75.336	23.50165136
75.436	27.22978707	75.436	24.32597917	75.436	23.52338736
75.536	27.22998227	75.536	24.3192187	75.536	23.51971336
75.636	27.23017747	75.636	24.32331527	75.636	23.51680936
75.736	27.23037267	75.736	24.34140289	75.736	23.53458536
75.836	27.22629787	75.836	24.35255094	75.836	23.53476136
75.936	27.21880707	75.936	24.35273003	75.936	23.54780736
76.036	27.21900227	76.036	24.34820813	76.036	23.54413336
76.136	27.21919747	76.136	24.33999259	76.136	23.55035936
76.236	27.21939267	76.236	24.34017167	76.236	23.55053536
76.336	27.21958787	76.336	24.34035076	76.336	23.55071136
76.436	27.23173907	76.436	24.34052984	76.436	23.56166736
76.536	27.23620427	76.536	24.35156597	76.536	23.57713336
76.636	27.25591947	76.636	24.36271403	76.636	23.58170936
76.736	27.25611467	76.736	24.36289312	76.736	23.58573536
76.836	27.25630987	76.836	24.3630722	76.836	23.58591136
76.936	27.25650507	76.936	24.36325129	76.936	23.58608736
77.036	27.25670027	77.036	24.36343037	77.036	23.58626336
77.136	27.25689547	77.136	24.36360946	77.136	23.60799936
77.236	27.25709067	77.236	24.37475752	77.236	23.60817536
77.336	27.25728587	77.336	24.3749366	77.336	23.60835136
77.436	27.25748107	77.436	24.37108627	77.436	23.60852736
77.536	27.25767627	77.536	24.36824329	77.536	23.60870336
77.636	27.25787147	77.636	24.3863309	77.636	23.61954936
77.736	27.25806667	77.736	24.38650999	77.736	23.62368536
77.836	27.25826187	77.836	24.39765805	77.836	23.63761136
77.936	27.25418707	77.936	24.39783713	77.936	23.63085736
78.036	27.24681827	78.036	24.39801622	78.036	23.63103336
78.136	27.26128747	78.136	24.3981953	78.136	23.64198936
78.236	27.26148267	78.236	24.39837439	78.236	23.64216536
78.336	27.26167787	78.336	24.39463598	78.336	23.64234136
78.436	27.27382907	78.436	24.41182817	78.436	23.65318736
78.536	27.27402427	78.536	24.41670825	78.536	23.66414336
78.636	27.27421947	78.636	24.42528195	78.636	23.66431936
78.736	27.27441467	78.736	24.42546104	78.736	23.66834536
78.836	27.27460987	78.836	24.42564012	78.836	23.67083136
78.936	27.27480507	78.936	24.42581921	78.936	23.68420736
79.036	27.27060827	79.036	24.44793624	79.036	23.68438336
79.136	27.26323947	79.136	24.44811533	79.136	23.68455936
79.236	27.26770467	79.236	24.44426499	79.236	23.68473536
79.336	27.27558587	79.336	24.43750452	79.336	23.68876136
79.436	27.27578107	79.436	24.43768361	79.436	23.71555736
79.536	27.28781027	79.536	24.44178018	79.536	23.70891336
79.636	27.28800547	79.636	24.44901075	79.636	23.70908936
79.736	27.28820067	79.736	24.45612939	79.736	23.70926536
79.836	27.28839587	79.836	24.46022597	79.836	23.70944136
79.936	27.28859107	79.936	24.46040505	79.936	23.70576736
80.036	27.28878627	80.036	24.46058414	80.036	23.72431336
80.136	27.28898147	80.136	24.46076322	80.136	23.73141936
80.236	27.28917667	80.236	24.4648598	80.236	23.73159536
80.336	27.28937187	80.336	24.48305934	80.336	23.74255136
80.436	27.28529707	80.436	24.47920901	80.436	23.74272736
80.536	27.27792827	80.536	24.48341751	80.536	23.73905336
80.636	27.27812347	80.636	24.4835966	80.636	23.74516936
80.736	27.29015267	80.736	24.48377568	80.736	23.74534536
80.836	27.29034787	80.836	24.48787226	80.836	23.76015136
80.936	27.29481307	80.936	24.4949909	80.936	23.76725736
81.036	27.30269427	81.036	24.49125249	81.036	23.76347336
81.136	27.31484547	81.136	24.48449202	81.136	23.75682936
81.236	27.30308467	81.236	24.49776672	81.236	23.76778536
81.336	27.31523587	81.336	24.50880285	81.336	23.77863136
81.436	27.31018507	81.436	24.50898194	81.436	23.77880736
81.536	27.30123027	81.536	24.50916102	81.536	23.77513336
81.636	27.31338147	81.636	24.5132576	81.636	23.77310936
81.736	27.31357667	81.736	24.52048817	81.736	23.78153536
81.836	27.31377187	81.836	24.52066725	81.836	23.80316136
81.936	27.31396707	81.936	24.52711432	81.936	23.79948736
82.036	27.31416227	82.036	24.52975583	82.036	23.79273336
82.136	27.31435747	82.136	24.52993491	82.136	23.79290936
82.236	27.31455267	82.236	24.530114	82.236	23.79308536
82.336	27.31474787	82.336	24.53421057	82.336	23.79326136
82.436	27.31494307	82.436	24.54144114	82.436	23.81114736
82.536	27.31513827	82.536	24.55247727	82.536	23.80439336
82.636	27.31533347	82.636	24.54873887	82.636	23.80456936
82.736	27.31125867	82.736	24.55283544	82.736	23.80859536
82.836	27.32767987	82.836	24.55301453	82.836	23.81570136
82.936	27.32787507	82.936	24.55319361	82.936	23.82192736
83.036	27.32807027	83.036	24.55740212	83.036	23.81385336
83.136	27.32826547	83.136	24.56452076	83.136	23.81402936
83.236	27.32846067	83.236	24.56469984	83.236	23.82498536
83.336	27.32865587	83.336	24.56487893	83.336	23.82516136
83.436	27.32885107	83.436	24.58296654	83.436	23.82533736
83.536	27.32904627	83.536	24.57620607	83.536	23.83838336
83.636	27.32924147	83.636	24.57638516	83.636	23.84240936
83.736	27.32943667	83.736	24.57656424	83.736	23.84566536
83.836	27.32963187	83.836	24.57674333	83.836	23.83891136
83.936	27.34166107	83.936	24.5808399	83.936	23.83908736
84.036	27.34185627	84.036	24.59892752	84.036	23.85004336
84.136	27.33778147	84.136	24.5991066	84.136	23.85021936
84.236	27.33041267	84.236	24.59928569	84.236	23.86106536
84.336	27.33060787	84.336	24.60864289	84.336	23.85739136
84.436	27.33507307	84.436	24.60188243	84.436	23.85074736
84.536	27.34283227	84.536	24.60206151	84.536	23.86159336
84.636	27.34302747	84.636	24.6022406	84.636	23.86176936
84.736	27.34322267	84.736	24.60712067	84.736	23.86194536
84.836	27.34341787	84.836	24.62655142	84.836	23.86212136
84.936	27.34361307	84.936	24.62281302	84.936	23.85844736
85.036	27.35576427	85.036	24.61605255	85.036	23.86247336
85.136	27.35595947	85.136	24.62708868	85.136	23.87342936
85.236	27.36384067	85.236	24.62726776	85.236	23.87360536
85.336	27.35634987	85.336	24.62744685	85.336	23.86993136
85.436	27.35654507	85.436	24.62762593	85.436	23.86702736
85.536	27.35674027	85.536	24.63877399	85.536	23.87413336
85.636	27.35693547	85.636	24.63895308	85.636	23.88508936
85.736	27.35713067	85.736	24.64618365	85.736	23.89813536
85.836	27.35305587	85.836	24.64322874	85.836	23.89446136
85.936	27.34556507	85.936	24.65045931	85.936	23.88770736
86.036	27.34576027	86.036	24.66149544	86.036	23.88788336
86.136	27.36035147	86.136	24.66167452	86.136	23.88805936
86.236	27.36054667	86.236	24.66185361	86.236	23.89901536
86.336	27.36074187	86.336	24.6581152	86.336	23.89534136
86.436	27.36093707	86.436	24.65135473	86.436	23.90321736
86.536	27.35674027	86.536	24.65545131	86.536	23.91021336
86.636	27.34937147	86.636	24.67353892	86.636	23.91038936
86.736	27.34956667	86.736	24.68681362	86.736	23.91056536
86.836	27.35403187	86.836	24.68307521	86.836	23.90689136
86.936	27.36191307	86.936	24.67631474	86.936	23.90024736
87.036	27.37394227	87.036	24.67649383	87.036	23.90427336
87.136	27.37413747	87.136	24.67667292	87.136	23.92204936
87.236	27.37433267	87.236	24.676852	87.236	23.93300536
87.336	27.37025787	87.336	24.68788813	87.336	23.93318136
87.436	27.36288907	87.436	24.69903619	87.436	23.92873736
87.536	27.36308427	87.536	24.69451429	87.536	23.92066336
87.636	27.36327947	87.636	24.68629875	87.636	23.92083936
87.736	27.36347467	87.736	24.68647783	87.736	23.92101536
87.836	27.36366987	87.836	24.68665692	87.836	23.92119136
87.936	27.36386507	87.936	24.69769305	87.936	23.93203736
88.036	27.37162427	88.036	24.70884111	88.036	23.94299336
88.136	27.36425547	88.136	24.71293768	88.136	23.94316936
88.236	27.36445067	88.236	24.71625076	88.236	23.94334536
88.336	27.36464587	88.336	24.70937836	88.336	23.94352136
88.436	27.36484107	88.436	24.70955745	88.436	23.94369736
88.536	27.36503627	88.536	24.72070551	88.536	23.94387336
88.636	27.36083947	88.636	24.72088459	88.636	23.95482936
88.736	27.36542667	88.736	24.72106368	88.736	23.95500536
88.836	27.37074587	88.836	24.72818232	88.836	23.95122136
88.936	27.38009107	88.936	24.72533934	88.936	23.94842736
89.036	27.38028627	89.036	24.74342695	89.036	23.96620336
89.136	27.38048147	89.136	24.74360604	89.136	23.96637936
