s	1nM_bi_250nM_mono	s	1nM_bi_50nM_mono	s	1nM_bi_2.5nM_mono
7.436	22.49582107	7.436	11.19073425	7.436	5.04741336
7.536	22.52224627	7.536	11.24700061	7.536	5.09958636
7.63599	22.54196147	7.63599	11.30000985	7.63599	5.142728342
7.736	22.54886667	7.736	11.33690142	7.736	5.18974236
7.836	22.57285187	7.836	11.38700053	7.836	5.25651236
7.936	22.61306307	7.936	11.45579166	7.936	5.30869636
8.036	22.64046427	8.036	11.4910043	8.036	5.36643536
8.13599	22.64492947	8.13599	11.53181336	8.13599	5.407872342
8.236	22.67135467	8.236	11.59187409	8.236	5.46776736
8.336	22.69106987	8.336	11.63973463	8.336	5.51779536
8.436	22.70749107	8.436	11.69677329	8.436	5.56694336
8.536	22.73147627	8.536	11.73982092	8.536	5.62297736
8.63599	22.75985347	8.63599	11.79540451	8.63599	5.682982342
8.736	22.77761667	8.736	11.84639904	8.736	5.72001936
8.836	22.78208187	8.836	11.88541725	8.836	5.78678936
8.936	22.80618907	8.936	11.9293603	8.936	5.83681736
9.036	22.83017427	9.036	11.98639896	9.036	5.87522936
9.13599	22.85415947	9.13599	12.03023008	9.13599	5.942010342
9.236	22.88058467	9.236	12.08335125	9.236	6.00663536
9.336	22.89273587	9.336	12.13512929	9.336	6.04807236
9.436	22.91672107	9.436	12.18422104	9.436	6.09722036
9.536	22.93643627	9.536	12.23432015	9.536	6.16185636
9.63599	22.95285747	9.63599	12.27647234	9.63599	6.217890342
9.736	22.98123467	9.736	12.31336391	9.736	6.26103236
9.836	23.00326787	9.836	12.3594336	9.836	6.32395236
9.936	23.03920907	9.936	12.41423369	9.936	6.37998636
10.036	23.04623627	10.036	12.46030338	10.036	6.42698936
10.136	23.06107147	10.136	12.51129792	10.136	6.48302336
10.236	23.07322267	10.236	12.55423361	10.236	6.54594336
10.336	23.11148187	10.336	12.60041523	10.336	6.59294636
10.436	23.12363307	10.436	12.63809029	10.436	6.64898036
10.536	23.14761827	10.536	12.70867228	10.536	6.69427836
10.636	23.15549947	10.636	12.7592191	10.636	6.74816736
10.736	23.17192067	10.736	12.79611067	10.736	6.80420136
10.836	23.19590587	10.836	12.84911991	10.836	6.86882636
10.936	23.22233107	10.936	12.88612341	10.936	6.91713836
11.036	23.23009027	11.036	12.9321931	11.036	6.95941136
11.136	23.25163547	11.136	12.98699319	11.136	7.01330036
11.236	23.27293667	11.236	13.01817642	11.236	7.06933436
11.336	23.29509187	11.336	13.05506798	11.336	7.13611536
11.436	23.31139107	11.436	13.10998001	11.436	7.19000436
11.536	23.32598227	11.536	13.1560497	11.536	7.24603836
11.636	23.34996747	11.636	13.21084979	11.636	7.30680236
11.736	23.35772667	11.736	13.24606243	11.736	7.35596136
11.836	23.37414787	11.836	13.28989356	11.836	7.41199536
11.936	23.39813307	11.936	13.34301473	11.936	7.46202336
12.036	23.41028427	12.036	13.3799063	12.036	7.51117136
12.136	23.43670947	12.136	13.42989347	12.136	7.57580736
12.236	23.46069467	12.236	13.47685859	12.236	7.62109436
12.336	23.47284587	12.336	13.51822729	12.336	7.67326736
12.436	23.49683107	12.436	13.55735742	12.436	7.73101736
12.536	23.51654627	12.536	13.59894998	12.536	7.78705136
12.636	23.52540347	12.636	13.66080156	12.636	7.84094036
12.736	23.55939267	12.736	13.68985814	12.736	7.89697436
12.836	23.56641987	12.836	13.73290577	12.836	7.93841136
12.936	23.56929907	12.936	13.79072793	12.936	7.98541436
13.036	23.60524027	13.036	13.82985806	13.036	8.04144836
13.136	23.61739147	13.136	13.86977169	13.136	8.10607336
13.236	23.63710667	13.236	13.91281932	13.236	8.15825736
13.336	23.64401187	13.336	13.95978443	13.336	8.20740536
13.436	23.66799707	13.436	14.00988354	13.436	8.26129436
13.536	23.69198227	13.536	14.0388282	13.536	8.30659236
13.636	23.70413347	13.636	14.07974918	13.636	8.35583936
13.736	23.71628467	13.736	14.13980991	13.736	8.41435936
13.836	23.74783387	13.836	14.1657325	13.836	8.46824836
13.936	23.75473907	13.936	14.2078847	13.936	8.52428236
14.036	23.76689027	14.036	14.26044623	14.036	8.56571936
14.136	23.79087547	14.136	14.3040535	14.136	8.61272236
14.236	23.79875667	14.236	14.34318363	14.236	8.68336436
14.336	23.81932587	14.336	14.3808587	14.336	8.74412836
14.436	23.83916307	14.436	14.42480175	14.436	8.78556536
14.536	23.86119627	14.536	14.4687448	14.536	8.83256836
14.636	23.86578347	14.636	14.50384551	14.636	8.88860236
14.736	23.87781267	14.736	14.56088417	14.736	8.94077536
14.836	23.89752787	14.836	14.59598489	14.836	8.99852536
14.936	23.90199307	14.936	14.63601045	14.936	9.03995136
15.036	23.92610027	15.036	14.67681951	15.036	9.08696536
15.136	23.93812947	15.136	14.72994068	15.136	9.14686036
15.236	23.94601067	15.236	14.75899727	15.236	9.20376336
15.336	23.97145987	15.336	14.80898444	15.336	9.25292236
15.436	23.99117507	15.436	14.84195852	15.436	9.29220336
15.536	24.01089027	15.536	14.8749326	15.536	9.35209836
15.636	24.01535547	15.636	14.92100229	15.636	9.40813236
15.736	24.02750667	15.736	14.96494534	15.736	9.44742436
15.836	24.05149187	15.836	15.00709754	15.836	9.49657236
15.936	24.05851907	15.936	15.03693762	15.936	9.54583036
16.036	24.06383827	16.036	15.0861413	16.036	9.59360336
16.136	24.08782347	16.136	15.12303287	16.136	9.63674536
16.236	24.11193067	16.236	15.17089341	16.236	9.69277936
16.336	24.12395987	16.336	15.20834462	16.336	9.74882436
16.436	24.13611107	16.436	15.24378112	16.436	9.80099736
16.536	24.16009627	16.536	15.28985081	16.536	9.83725336
16.636	24.16797747	16.636	15.32282488	16.636	9.90403436
16.736	24.17488267	16.736	15.36889457	16.736	9.94547136
16.836	24.18691187	16.836	15.40186865	16.836	10.00707136
16.936	24.21089707	16.936	15.4465952	16.936	10.05539436
17.036	24.23073427	17.036	15.49411995	17.036	10.10239736
17.136	24.23519947	17.136	15.52317654	17.136	10.15457036
17.236	24.25918467	17.236	15.54909914	17.236	10.20543436
17.336	24.27133587	17.336	15.59908631	17.336	10.25374636
17.436	24.27909507	17.436	15.64605143	17.436	10.31149636
17.536	24.28600027	17.536	15.67421259	17.536	10.35679436
17.636	24.31425547	17.636	15.70326918	17.636	10.41068336
17.736	24.32970067	17.736	15.75717385	17.736	10.45597036
17.836	24.33428787	17.836	15.79932604	17.836	10.51889036
17.936	24.35827307	17.936	15.82838263	17.936	10.55514636
18.036	24.36603227	18.036	15.86751276	18.036	10.59829936
18.136	24.37061947	18.136	15.89656935	18.136	10.66043836
18.236	24.38264867	18.236	15.95047402	18.236	10.70133636
18.336	24.39711787	18.336	15.99049958	18.336	10.75136436
18.436	24.41927307	18.436	16.01955617	18.436	10.80353736
18.536	24.42373827	18.536	16.06249186	18.536	10.85054036
18.636	24.44784547	18.636	16.11337447	18.636	10.89197736
18.736	24.45987467	18.736	16.14164756	18.736	10.95187236
18.836	24.47714987	18.836	16.16846558	18.836	10.99794036
18.936	24.49332707	18.936	16.21621419	18.936	11.05323736
