Cycle: 5  MBP-L-111  2000 nM_X	Cycle: 5  MBP-L-111  2000 nM_Y	Cycle: 6  MBP-L-111  1000 nM_X	Cycle: 6  MBP-L-111  1000 nM_Y	Cycle: 8  MBP-L-111  250 nM_X	Cycle: 8  MBP-L-111  250 nM_Y	Cycle: 9  MBP-L-111  62.5 nM_X	Cycle: 9  MBP-L-111  62.5 nM_Y	Cycle: 10  MBP-L-111  15.6 nM_X	Cycle: 10  MBP-L-111  15.6 nM_Y	Cycle: 11  MBP-L-111  3.9 nM_X	Cycle: 11  MBP-L-111  3.9 nM_Y	Cycle: 13  MBP-L-111  250 nM_X	Cycle: 13  MBP-L-111  250 nM_Y	Cycle: 14  MBP-L-111  0.98 nM_X	Cycle: 14  MBP-L-111  0.98 nM_Y
-59.235	-0.0115929	-59.236	-4.31E-03	-59.236	-0.0623894	-59.236	6.67E-03	-59.236	-0.0124931	-59.236	0.0105553	-59.236	0.101536	-59.236	0.0466347
-59.21	-0.0117881	-59.211	-4.31E-03	-59.211	-0.0623894	-59.211	6.67E-03	-59.211	-0.0124931	-59.211	0.0105553	-59.211	0.101536	-59.211	0.0466347
-59.185	-0.0164757	-59.186	-9.19E-03	-59.186	-0.0672722	-59.186	1.79E-03	-59.186	-0.0173759	-59.186	5.67E-03	-59.186	0.096653	-59.186	0.0417519
-59.16	-0.0164757	-59.161	-9.19E-03	-59.161	-0.0672722	-59.161	8.51E-04	-59.161	-0.0173759	-59.161	5.67E-03	-59.161	0.096653	-59.161	0.0417519
-59.135	-0.0164601	-59.136	-9.19E-03	-59.136	-0.0672722	-59.136	-9.93E-03	-59.136	-0.0173759	-59.136	5.67E-03	-59.136	0.096653	-59.136	0.0417519
-59.11	-0.0166851	-59.111	-8.80E-03	-59.111	-0.0668831	-59.111	-9.54E-03	-59.111	-0.0169868	-59.111	5.28E-03	-59.111	0.0962639	-59.111	0.042141
-59.085	-0.0213436	-59.086	-4.31E-03	-59.086	-0.0623894	-59.086	-5.05E-03	-59.086	-0.0124931	-59.086	7.90E-04	-59.086	0.0917702	-59.086	0.0466347
-59.06	-0.0208113	-59.061	-4.71E-03	-59.061	-0.0522503	-59.061	-4.67E-03	-59.061	-0.0128978	-59.061	1.16E-03	-59.061	0.0921437	-59.061	0.0470082
-59.035	-0.0166482	-59.036	-9.37E-03	-59.036	-0.0479206	-59.036	-3.44E-04	-59.036	-0.0175556	-59.036	5.49E-03	-59.036	0.0964733	-59.036	0.0513378
-59.01	-0.0164757	-59.011	-9.19E-03	-59.011	-0.0477409	-59.011	-1.64E-04	-59.011	-7.61E-03	-59.011	5.67E-03	-59.011	0.096653	-59.011	0.0515175
-58.985	-0.0164757	-58.986	-9.19E-03	-58.986	-0.0477409	-58.986	-1.64E-04	-58.986	-7.61E-03	-58.986	0.0154381	-58.986	0.096653	-58.986	0.0507393
-58.96	-0.0166631	-58.961	-9.19E-03	-58.961	-0.0485191	-58.961	9.60E-03	-58.961	-7.61E-03	-58.961	0.0154381	-58.961	0.096653	-58.961	0.0515175
-58.935	-0.0211548	-58.936	-4.11E-03	-58.936	-0.0621934	-58.936	4.91E-03	-58.936	-0.0122972	-58.936	0.0107512	-58.936	0.091188	-58.936	0.0468307
-58.91	-0.0207897	-58.911	-3.92E-03	-58.911	-0.0620003	-58.911	4.33E-03	-58.911	-0.012104	-58.911	0.0101662	-58.911	0.0823936	-58.911	0.0470238
-58.885	-0.0164757	-58.886	5.76E-04	-58.886	-0.0575066	-58.886	-1.64E-04	-58.886	-7.61E-03	-58.886	5.67E-03	-58.886	0.0868874	-58.886	0.0515175
-58.86	-0.0164608	-58.861	5.76E-04	-58.861	-0.0575066	-58.861	-1.64E-04	-58.861	-7.61E-03	-58.861	5.67E-03	-58.861	0.0868874	-58.861	0.0515175
-58.835	-0.015929	-58.836	9.50E-04	-58.836	-0.057133	-58.836	2.10E-04	-58.836	-7.24E-03	-58.836	6.05E-03	-58.836	0.087261	-58.836	0.0518911
-58.81	-0.0117658	-58.811	4.50E-03	-58.811	-0.052804	-58.811	4.54E-03	-58.811	-2.91E-03	-58.811	0.010375	-58.811	0.0915899	-58.811	0.0554419
-58.785	-0.0115929	-58.786	-4.31E-03	-58.786	-0.0526237	-58.786	4.72E-03	-58.786	-3.67E-03	-58.786	0.0105553	-58.786	0.0917702	-58.786	0.0466347
-58.76	-1.83E-03	-58.761	-4.31E-03	-58.761	-0.0526237	-58.761	4.72E-03	-58.761	-0.0144463	-58.761	0.0105553	-58.761	0.090992	-58.761	0.0466347
-58.735	-1.83E-03	-58.736	-4.31E-03	-58.736	-0.0526237	-58.736	4.72E-03	-58.736	-0.0144463	-58.736	0.0105553	-58.736	0.0937233	-58.736	0.0466347
-58.71	-1.81E-03	-58.711	-4.31E-03	-58.711	-0.0526237	-58.711	3.94E-03	-58.711	-0.0144463	-58.711	9.78E-03	-58.711	0.0937233	-58.711	0.0466347
