Cycle:_4_1C-3_0.1_nM_X_time,(RU),Cycle:_5_1C-3_1_nM_X_time,(RU),Cycle:_6_1C-3_10_nM_X_time,(RU),Cycle:_7_1C-3_1000_nM_X_time,(RU)
-53.964,0.0250549,-53.964,0.0688477,-53.964,0.0317383,-53.964,0.0375061
-53.864,0.0250549,-53.864,0.0688477,-53.864,0.0317383,-53.864,0.0375061
-53.764,0.0250549,-53.764,0.0688477,-53.764,0.0317383,-53.764,0.0375061
-53.664,0.0250549,-53.664,0.0688477,-53.664,0.0317383,-53.664,0.0375061
-53.564,0.0250549,-53.564,0.0688477,-53.564,0.0317383,-53.564,0.0375061
-53.464,0.0250549,-53.464,0.0688477,-53.464,0.0317383,-53.464,0.0375061
-53.364,0.0250549,-53.364,0.0688477,-53.364,0.0317383,-53.364,0.0375061
-53.264,0.0250549,-53.264,0.0688477,-53.264,0.0317383,-53.264,0.0375061
-53.164,0.0250549,-53.164,0.0688477,-53.164,0.0317383,-53.164,0.0375061
-53.064,0.0348206,-53.064,0.0688477,-53.064,0.0317383,-53.064,0.0375061
-52.964,0.0348206,-52.964,0.0688477,-52.964,0.0317383,-52.964,0.0375061
-52.864,0.031311,-52.864,0.0653381,-52.864,0.0282288,-52.864,0.0339966
-52.764,0.0250549,-52.764,0.059082,-52.764,0.0219727,-52.764,0.0277405
-52.664,0.0285645,-52.664,0.059082,-52.664,0.0219727,-52.664,0.0277405
-52.564,0.0348206,-52.564,0.059082,-52.564,0.0219727,-52.564,0.0277405
-52.464,0.0348206,-52.464,0.059082,-52.464,0.012207,-52.464,0.0277405
-52.364,0.0250549,-52.364,0.059082,-52.364,0.012207,-52.364,0.0277405
-52.264,0.0250549,-52.264,0.059082,-52.264,0.0219727,-52.264,0.0277405
-52.164,0.0348206,-52.164,0.0688477,-52.164,0.0317383,-52.164,0.0375061
-52.064,0.0445862,-52.064,0.0688477,-52.064,0.0317383,-52.064,0.0257874
-51.964,0.0445862,-51.964,0.0688477,-51.964,0.0317383,-51.964,0.0257874
-51.864,0.0445862,-51.864,0.0688477,-51.864,0.0317383,-51.864,0.0257874
-51.764,0.0445862,-51.764,0.0688477,-51.764,0.0219727,-51.764,0.0292969
-51.664,0.0445862,-51.664,0.0688477,-51.664,0.0219727,-51.664,0.035553
-51.564,0.0410767,-51.564,0.0688477,-51.564,0.0282288,-51.564,0.0320435
-51.464,0.0348206,-51.464,0.0688477,-51.464,0.0219727,-51.464,0.0257874
-51.364,0.0348206,-51.364,0.0688477,-51.364,0.0219727,-51.364,0.0257874
-51.264,0.0348206,-51.264,0.0688477,-51.264,0.012207,-51.264,0.0257874
-51.164,0.0348206,-51.164,0.0688477,-51.164,0.0219727,-51.164,0.0257874
-51.064,0.0348206,-51.064,0.0688477,-51.064,0.0219727,-51.064,0.0257874
-50.964,0.0348206,-50.964,0.0688477,-50.964,0.0219727,-50.964,0.0160217
-50.864,0.0348206,-50.864,0.0688477,-50.864,0.0219727,-50.864,0.0160217
-50.764,0.0348206,-50.764,0.0688477,-50.764,0.0219727,-50.764,0.0160217
-50.664,0.0383301,-50.664,0.0688477,-50.664,0.0219727,-50.664,0.0160217
-50.564,0.0445862,-50.564,0.0688477,-50.564,0.0219727,-50.564,0.0160217
-50.464,0.0445862,-50.464,0.0688477,-50.464,0.0219727,-50.464,0.0160217
-50.364,0.0543518,-50.364,0.0786133,-50.364,0.0317383,-50.364,0.0257874
-50.264,0.0543518,-50.264,0.0786133,-50.264,0.0317383,-50.264,0.0257874
-50.164,0.0543518,-50.164,0.0786133,-50.164,0.0317383,-50.164,0.0292969
-50.064,0.0543518,-50.064,0.0786133,-50.064,0.0317383,-50.064,0.035553
-49.964,0.0543518,-49.964,0.0786133,-49.964,0.0317383,-49.964,0.035553
-49.864,0.0543518,-49.864,0.0786133,-49.864,0.0317383,-49.864,0.035553
-49.764,0.0501404,-49.764,0.0744019,-49.764,0.0275269,-49.764,0.0313416
-49.664,0.0468445,-49.664,0.071106,-49.664,0.024231,-49.664,0.0280457
-49.564,0.0501404,-49.564,0.0744019,-49.564,0.0275269,-49.564,0.0313416
-49.464,0.0426331,-49.464,0.0668945,-49.464,0.0200195,-49.464,0.0238342
-49.364,0.0426331,-49.364,0.0668945,-49.364,0.0200195,-49.364,0.0238342
-49.264,0.0426331,-49.264,0.0668945,-49.264,0.0200195,-49.264,0.0238342
-49.164,0.0426331,-49.164,0.0668945,-49.164,0.0200195,-49.164,0.0238342
-49.064,0.0426331,-49.064,0.0668945,-49.064,0.0200195,-49.064,0.0238342
-48.964,0.0426331,-48.964,0.0668945,-48.964,0.0200195,-48.964,0.0238342
-48.864,0.0426331,-48.864,0.0668945,-48.864,0.0200195,-48.864,0.0238342
-48.764,0.0426331,-48.764,0.0668945,-48.764,0.0200195,-48.764,0.0238342
-48.664,0.0426331,-48.664,0.0668945,-48.664,0.0200195,-48.664,0.0238342
-48.564,0.0426331,-48.564,0.0668945,-48.564,0.0200195,-48.564,0.0238342
-48.464,0.0391235,-48.464,0.0668945,-48.464,0.01651,-48.464,0.0280457
-48.364,0.0328674,-48.364,0.0668945,-48.364,0.0102539,-48.364,0.035553
